Taxa	Yield	Protein	Heading	Height	TW	NDVI	NDRE1	NWI1	NWI2
HR17043-1	35.5827111	11.63486454	167.380881	22.18052309	60.68649664	0.371861961	-0.116216166	-0.020886188	0.026477006
HR17043-10	33.5827111	13.63486454	159.380881	24.18052309	63.28649664	0.354865801	-0.131740574	-0.0061996	0.04417007
HR17043-11	29.5827111	13.03486454	165.380881	28.18052309	59.28649664	0.415119957	-0.115271674	-0.016770544	0.028334236
HR17043-12	31.5827111	12.63486454	159.380881	26.18052309	59.68649664	0.426158355	-0.11079362	-0.017108862	0.027292726
HR17043-13	17.5827111	14.83486454	165.380881	28.18052309	58.68649664	0.388060687	-0.125761312	-0.011111132	0.0295011
HR17043-15	27.5827111	13.03486454	163.380881	30.18052309	59.08649664	0.448339813	-0.09928723	-0.03061025	0.014928782
HR17043-16W	37.5827111	15.83486454	167.380881	28.18052309	57.88649664	0.519733147	-0.071392408	-0.046546228	0.006233652
HR17043-2	37.5827111	13.23486454	169.380881	26.18052309	59.08649664	0.432428107	-0.12217328	-0.022535196	0.019346116
HR17043-3	43.5827111	14.03486454	165.380881	24.18052309	61.28649664	0.499161141	-0.069141284	-0.052719656	0.00855254
HR17043-4	33.5827111	12.83486454	165.380881	26.18052309	60.28649664	0.486740763	-0.088620676	-0.044062058	0.00329742
HR17043-5W	41.5827111	14.23486454	167.380881	32.18052309	60.28649664	0.551542153	-0.069284366	-0.055770612	-0.008134164
HR17043-6	35.5827111	12.63486454	165.380881	28.18052309	61.88649664	0.491094979	-0.089457918	-0.03836074	0.011605156
HR17043-7	37.5827111	13.83486454	165.380881	28.18052309	63.88649664	0.518628569	-0.078979636	-0.050001476	-0.003752106
HR17043-8W	33.5827111	13.03486454	163.380881	26.18052309	61.68649664	0.447496615	-0.101876334	-0.0278747	0.019748584
HR17043-9	21.5827111	13.23486454	163.380881	26.18052309	62.68649664	0.328379847	-0.152538	0.004378336	0.044738898
HR17044-10W	37.00557365	14.65949919	163.3667743	25.17383705	59.34625603	0.494793224	-0.083279341	-0.03908015	0.012621707
HR17044-11	37.00557365	14.45949919	169.3667743	25.17383705	59.34625603	0.49079564	-0.084257229	-0.036202126	0.016646165
HR17044-1W	35.5827111	13.43486454	165.380881	28.18052309	56.88649664	0.462631951	-0.09955632	-0.029452	0.018605046
HR17044-2	29.5827111	13.23486454	165.380881	30.18052309	60.68649664	0.425036147	-0.112032844	-0.022589386	0.02041395
HR17044-3	33.5827111	13.63486454	169.380881	24.18052309	58.48649664	0.532777873	-0.061956306	-0.059974394	-0.00454914
HR17044-4W	35.00557365	12.85949919	163.3667743	27.17383705	60.34625603	0.462111044	-0.098439005	-0.030556816	0.018436385
